Brand,Model,Price,Released,Mass,Platform,Operating System,CPU Clock,Processor,Processor Score,RAM Capacity (converted),Non-volatile Memory Capacity (converted),RAM Type,Display Diagonal,Resolution,Pixel Density,Display Type,Graphical Controller,GPU Scores,Microphone(s),Loudpeaker(s):,Audio Output:,Expansion Interfaces,USB Connector,Max. Charging Power:,Nominal Battery Capacity,Image Sensor Pixel Size,No. of effective pixels,Aperture (W),Camera Extra Functions,Camera Extra Feat.,Secondary No. of pixels,Built-in compass,Built-in gyroscope,Voice Command,Augmented Reality (AR),Intelligent personal assistant,Voice Recognition,Face Recognition,Barometer,In-screen fingerprint sensor,Hall,Heart rate sensor,Fingerprint sensor,Light sensor,Proximity sensor,Step counter,Display_Score,Performance_Score,Camera_Score,Battery_Score,Camera Prefs,Battery Prefs,Performance Prefs,Display Prefs
Apple,iPhone 11 A2221 Global Dual SIM TD-LTE 128GB,55999,19-Sep,194,iOS,Apple iOS 13,2650,A13 Bionic,472507,4,128,4,155,828x1792,323,0,Apple A13 Bionic GPU,208697,3,2,0,0,0,18,3110,1.4,12.2,1.8,"EIS (video)
 , OIS
 , OIS (video)
 , HDR photo
 , HDR video
 , Red-eye reduction
 , Slow motion video
 , Burst mode
 , Touch focus
 , Macro mode
 , Panorama Photo
 , Face detection
 , Face tagging
 , Smile detection
 , Face retouch
 , Intelligent scene detection",16,12.2,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,32300,715704,8066.666667,21110,1575780.667,2867070.667,71631876.67,3974880.667
Apple,iPhone 11 A2221 Global Dual SIM TD-LTE 256GB,69990,19-Sep,194,iOS,Apple iOS 13,2650,A13 Bionic,472507,4,256,4,155,828x1792,323,0,Apple A13 Bionic GPU,208697,3,2,0,0,0,18,3110,1.4,12.2,1.8,"EIS (video)
 , OIS
 , OIS (video)
 , HDR photo
 , HDR video
 , Red-eye reduction
 , Slow motion video
 , Burst mode
 , Touch focus
 , Macro mode
 , Panorama Photo
 , Face detection
 , Face tagging
 , Smile detection
 , Face retouch
 , Intelligent scene detection",16,12.2,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,32300,715704,8066.666667,21110,1575780.667,2867070.667,71631876.67,3974880.667
Apple,iPhone 11 A2221 Global Dual SIM TD-LTE 64GB,50999,19-Sep,194,iOS,Apple iOS 13,2650,A13 Bionic,472507,4,64,4,155,828x1792,323,0,Apple A13 Bionic GPU,208697,3,2,0,0,0,18,3110,1.4,12.2,1.8,"EIS (video)
 , OIS
 , OIS (video)
 , HDR photo
 , HDR video
 , Red-eye reduction
 , Slow motion video
 , Burst mode
 , Touch focus
 , Macro mode
 , Panorama Photo
 , Face detection
 , Face tagging
 , Smile detection
 , Face retouch
 , Intelligent scene detection",16,12.2,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,32300,715704,8066.666667,21110,1575780.667,2867070.667,71631876.67,3974880.667
Apple,iPhone 11 Pro A2215 Global Dual SIM TD-LTE 256GB,92999,19-Sep,188,iOS,Apple iOS 13,2650,A13 Bionic,472507,4,256,4,147,1125x2436,464,1,Apple A13 Bionic GPU,208697,3,2,0,0,0,18,3046,1.4,12.2,1.8,"EIS (video)
 , OIS
 , OIS (video)
 , HDR photo
 , HDR video
 , Red-eye reduction
 , Slow motion video
 , Burst mode
 , Touch focus
 , Macro mode
 , Panorama Photo
 , Face detection
 , Face tagging
 , Smile detection
 , Face retouch
 , Intelligent scene detection",16,12.2,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,46401,715704,8066.666667,21046,1589817.667,2874771.667,71645913.67,5384916.667
Apple,iPhone 11 Pro A2215 Global Dual SIM TD-LTE 512GB,109999,19-Sep,188,iOS,Apple iOS 13,2650,A13 Bionic,472507,4,512,4,147,1125x2436,464,1,Apple A13 Bionic GPU,208697,3,2,0,0,0,18,3046,1.4,12.2,1.8,"EIS (video)
 , OIS
 , OIS (video)
 , HDR photo
 , HDR video
 , Red-eye reduction
 , Slow motion video
 , Burst mode
 , Touch focus
 , Macro mode
 , Panorama Photo
 , Face detection
 , Face tagging
 , Smile detection
 , Face retouch
 , Intelligent scene detection",16,12.2,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,46401,715704,8066.666667,21046,1589817.667,2874771.667,71645913.67,5384916.667
Apple,iPhone 11 Pro A2215 Global Dual SIM TD-LTE 64GB,79999,19-Sep,188,iOS,Apple iOS 13,2650,A13 Bionic,472507,4,64,4,147,1125x2436,464,1,Apple A13 Bionic GPU,208697,3,2,0,0,0,18,3046,1.4,12.2,1.8,"EIS (video)
 , OIS
 , OIS (video)
 , HDR photo
 , HDR video
 , Red-eye reduction
 , Slow motion video
 , Burst mode
 , Touch focus
 , Macro mode
 , Panorama Photo
 , Face detection
 , Face tagging
 , Smile detection
 , Face retouch
 , Intelligent scene detection",16,12.2,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,46401,715704,8066.666667,21046,1589817.667,2874771.667,71645913.67,5384916.667
Apple,iPhone 11 Pro Max A2218 Global Dual SIM TD-LTE 256GB,131900,19-Sep,226,iOS,Apple iOS 13,2650,A13 Bionic,472507,4,256,4,165,1242x2688,456,1,Apple A13 Bionic GPU,208697,3,2,0,0,0,18,3969,1.4,12.2,1.8,"EIS (video)
 , OIS
 , OIS (video)
 , HDR photo
 , HDR video
 , Red-eye reduction
 , Slow motion video
 , Burst mode
 , Touch focus
 , Macro mode
 , Panorama Photo
 , Face detection
 , Face tagging
 , Smile detection
 , Face retouch
 , Intelligent scene detection",16,12.2,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,45601,715704,8066.666667,21969,1589940.667,2966271.667,71646036.67,5305839.667
Apple,iPhone 11 Pro Max A2218 Global Dual SIM TD-LTE 512GB,150800,19-Sep,226,iOS,Apple iOS 13,2650,A13 Bionic,472507,4,512,4,165,1242x2688,456,1,Apple A13 Bionic GPU,208697,3,2,0,0,0,18,3969,1.4,12.2,1.8,"EIS (video)
 , OIS
 , OIS (video)
 , HDR photo
 , HDR video
 , Red-eye reduction
 , Slow motion video
 , Burst mode
 , Touch focus
 , Macro mode
 , Panorama Photo
 , Face detection
 , Face tagging
 , Smile detection
 , Face retouch
 , Intelligent scene detection",16,12.2,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,45601,715704,8066.666667,21969,1589940.667,2966271.667,71646036.67,5305839.667
Apple,iPhone 11 Pro Max A2218 Global Dual SIM TD-LTE 64GB,106999,19-Sep,226,iOS,Apple iOS 13,2650,A13 Bionic,472507,4,64,4,165,1242x2688,456,1,Apple A13 Bionic GPU,208697,3,2,0,0,0,18,3969,1.4,12.2,1.8,"EIS (video)
 , OIS
 , OIS (video)
 , HDR photo
 , HDR video
 , Red-eye reduction
 , Slow motion video
 , Burst mode
 , Touch focus
 , Macro mode
 , Panorama Photo
 , Face detection
 , Face tagging
 , Smile detection
 , Face retouch
 , Intelligent scene detection",16,12.2,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,45601,715704,8066.666667,21969,1589940.667,2966271.667,71646036.67,5305839.667
Apple,iPhone 12 Pro 5G A2407 Global Dual SIM TD-LTE 128GB,119000,20-Nov,187,iOS,Apple iOS 14.1,2990,A14 Bionic,581084,6,512,5,153.92,1170x2532,460,1,Apple A14 Bionic GPU,214966,3,2,0,0,0,20,2815,1.4,12.2,1.6,"EIS (video)
  , OIS
  , OIS (video)
  , HDR photo
  , HDR video
  , Red-eye reduction
  , Slow motion video
  , Burst mode
  , Touch focus
  , Macro mode
  , Panorama Photo
  , Face detection
  , Face tagging
  , Smile detection
  , Face retouch
  , Intelligent scene detection",16,12.2,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,46001,836950,8900,22815,1795766,3173351,83772716,5468765
